voc_id,masked_title,masked_content,large_category,middle_category,small_code,small_category,label_confirmed_yn,masking_review_yn,is_synthetic
VOC09805,포인트 적립 기준이 궁금합니다,짧은 거리 주행도 포인트 적립 대상인지 문의드립니다.,포인트,적립기준,S015,포인트 적립 기준 문의,Y,Y,Y
VOC03814,주행 데이터가 반영되지 않았어요,[날짜]에 [출발지]-[도착지] 구간을 운전했는데 앱에서 기록이 보이지 않습니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC02797,새 비밀번호 등록 문의,비밀번호 찾기 과정에서 [전화번호]로 인증번호가 오지 않습니다. 관련 기준도 함께 알려주세요.,회원,계정관리,S005,비밀번호 재설정,Y,Y,Y
VOC06072,포인트가 갑자기 줄었습니다,결제를 취소했는데 차감된 포인트가 복구되지 않았습니다. 처리 방법을 안내해주세요.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC03866,주행기록이 보이지 않습니다,[주행일]에 [출발지]-[도착지] 구간을 운전했는데 앱에서 기록이 보이지 않습니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC04964,차량을 변경했습니다,차량번호 변경 후 주행 서비스 연결 방법을 문의드립니다. 빠른 확인 요청드립니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC06953,업데이트 후 앱이 열리지 않아요,특정 메뉴에 들어가면 화면이 멈추는 현상이 반복됩니다.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC01288,주행 포인트는 언제 들어오나요,방금 운전한 기록은 보이는데 포인트는 처리 중으로 표시됩니다.,포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC02235,계속 로그인에 실패합니다 앱에서 확인이 어려워 문의드립니다.,기존에 사용하던 계정으로 접속되지 않아 문의드립니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC05850,앱 회원 탈퇴 방법 문의,본인 인증 후 탈퇴가 완료되지 않아 확인 부탁드립니다. 앱을 다시 실행해도 같은 상태입니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC02376,계속 로그인에 실패합니다 앱에서 확인이 어려워 문의드립니다.,[오류코드] 메시지가 표시되면서 앱에 접속할 수 없습니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC08354,앱의 계약 내용이 맞지 않아요 확인 부탁드립니다.,계약 기간과 보험료 정보가 가입 당시 안내와 다르게 표시됩니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC06528,포인트 잔액 오류,어제 확인한 잔액과 오늘 잔액이 달라서 확인 요청드립니다.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC06991,앱 실행 중 오류가 발생합니다,앱을 열면 흰 화면만 보이고 아무 기능도 사용할 수 없습니다.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC01825,포인트 사용처가 궁금합니다,현재 보유한 포인트를 어디에서 사용할 수 있는지 알려주세요. 처리 방법을 안내해주세요. 앱을 다시 실행해도 같은 상태입니다.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC09918,운전점수와 포인트 관계,짧은 거리 주행도 포인트 적립 대상인지 확인 요청드립니다.,포인트,적립기준,S015,포인트 적립 기준 문의,Y,Y,Y
VOC08275,증권 정보 수정 문의,계약 기간과 보험료 정보가 가입 당시 안내와 다르게 표시됩니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC05330,앱 차량정보 수정 문의,보험 계약 차량은 변경됐는데 앱에는 이전 차량이 표시됩니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC05936,가입 정보 삭제 요청,앱에서 탈퇴 메뉴를 찾을 수 없어 문의드립니다. 앱을 다시 실행해도 같은 상태입니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC00682,포인트 적립 처리 중 문의 빠른 확인 요청드립니다.,"포인트가 바로 들어오는지, 일정 시간이 필요한지 문의드립니다.",포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC03770,주행 데이터가 반영되지 않았어요 앱에서 확인이 어려워 문의드립니다.,해당 시간대의 운전 내역이 누락되어 확인 요청드립니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC04489,계약 할인 적용 상태 문의,앱에는 할인 대상이라고 나오는데 실제 보험료에 적용됐는지 알고 싶습니다. 확인 부탁드립니다. 이전에 정상적으로 이용한 적이 있습니다.,보험,할인,S007,보험료 할인 적용 문의,Y,Y,Y
VOC06782,서비스 실행 불가 문의,재설치 후에도 동일하게 앱이 강제 종료됩니다. 빠른 확인 요청드립니다.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC06586,포인트 잔액 오류 확인 부탁드립니다.,어제 확인한 잔액과 오늘 잔액이 달라서 문의드립니다.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC02927,비밀번호를 재설정하고 싶습니다 빠른 확인 요청드립니다.,새 비밀번호를 입력했지만 변경이 완료되지 않습니다.,회원,계정관리,S005,비밀번호 재설정,Y,Y,Y
VOC06110,포인트 차감 내역이 이상합니다,포인트 사용 이력과 실제 잔액이 맞지 않습니다. 확인 부탁드립니다.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC04376,안전운전 할인 적용 여부 문의,앱에는 할인 대상이라고 나오는데 실제 보험료에 적용됐는지 알고 싶습니다.,보험,할인,S007,보험료 할인 적용 문의,Y,Y,Y
VOC08410,증권 정보 수정 문의,보험 계약 정보 중 일부 항목이 잘못되어 수정 요청드립니다. 앱을 다시 실행해도 같은 상태입니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC05993,서비스 계정을 삭제하고 싶어요 확인 부탁드립니다.,본인 인증 후 탈퇴가 완료되지 않아 확인 부탁드립니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC05245,새 차량으로 바꾸고 싶어요,보험 계약 차량은 변경됐는데 앱에는 이전 차량이 표시됩니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
